The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	barren
The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	barren islands
The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	reefs
The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	islands
The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	coral
The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	coral outcrops
The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	overlapping
The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	believed
The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	rich
The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	oil
The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	gas
The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	overlapping claims
The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	flashpoint
The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	claims
The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	long
The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	feared
The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	Asia
The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	armed conflict
The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	conflict
The barren islands reefs and coral outcrops are believed to be in rich in oil and gas and the overlapping claims have long been feared as Asias next flashpoint for armed conflict	armed
Both China and the Philippines flexed their muscles on Wednesday	flexed
Both China and the Philippines flexed their muscles on Wednesday	China
Both China and the Philippines flexed their muscles on Wednesday	Philippines
Both China and the Philippines flexed their muscles on Wednesday	flexed their muscles
Both China and the Philippines flexed their muscles on Wednesday	muscles
Both China and the Philippines flexed their muscles on Wednesday	Wednesday
Del Rosario said that he warned Chinas ambassador that if the Philippines is challenged we are prepared to secure our sovereignty	ambassador
Del Rosario said that he warned Chinas ambassador that if the Philippines is challenged we are prepared to secure our sovereignty	Del
Del Rosario said that he warned Chinas ambassador that if the Philippines is challenged we are prepared to secure our sovereignty	Rosario
Del Rosario said that he warned Chinas ambassador that if the Philippines is challenged we are prepared to secure our sovereignty	warned
Del Rosario said that he warned Chinas ambassador that if the Philippines is challenged we are prepared to secure our sovereignty	China
Del Rosario said that he warned Chinas ambassador that if the Philippines is challenged we are prepared to secure our sovereignty	challenged
Del Rosario said that he warned Chinas ambassador that if the Philippines is challenged we are prepared to secure our sovereignty	Philippines
Del Rosario said that he warned Chinas ambassador that if the Philippines is challenged we are prepared to secure our sovereignty	secure our sovereignty
Del Rosario said that he warned Chinas ambassador that if the Philippines is challenged we are prepared to secure our sovereignty	prepared
Del Rosario said that he warned Chinas ambassador that if the Philippines is challenged we are prepared to secure our sovereignty	sovereignty
Del Rosario said that he warned Chinas ambassador that if the Philippines is challenged we are prepared to secure our sovereignty	secure
The Philippine navy was sending additional vessels toward the shoal which lies about 200 kilometers 124 miles from the nearest Philippine coast a Philippine navy official told The Associated Press	vessels
The Philippine navy was sending additional vessels toward the shoal which lies about 200 kilometers 124 miles from the nearest Philippine coast a Philippine navy official told The Associated Press	Philippine
The Philippine navy was sending additional vessels toward the shoal which lies about 200 kilometers 124 miles from the nearest Philippine coast a Philippine navy official told The Associated Press	navy
The Philippine navy was sending additional vessels toward the shoal which lies about 200 kilometers 124 miles from the nearest Philippine coast a Philippine navy official told The Associated Press	sending
The Philippine navy was sending additional vessels toward the shoal which lies about 200 kilometers 124 miles from the nearest Philippine coast a Philippine navy official told The Associated Press	additional
The Philippine navy was sending additional vessels toward the shoal which lies about 200 kilometers 124 miles from the nearest Philippine coast a Philippine navy official told The Associated Press	shoal
The Philippine navy was sending additional vessels toward the shoal which lies about 200 kilometers 124 miles from the nearest Philippine coast a Philippine navy official told The Associated Press	lies
The Philippine navy was sending additional vessels toward the shoal which lies about 200 kilometers 124 miles from the nearest Philippine coast a Philippine navy official told The Associated Press	kilometers
The Philippine navy was sending additional vessels toward the shoal which lies about 200 kilometers 124 miles from the nearest Philippine coast a Philippine navy official told The Associated Press	miles
The Philippine navy was sending additional vessels toward the shoal which lies about 200 kilometers 124 miles from the nearest Philippine coast a Philippine navy official told The Associated Press	nearest
The Philippine navy was sending additional vessels toward the shoal which lies about 200 kilometers 124 miles from the nearest Philippine coast a Philippine navy official told The Associated Press	Philippine
The Philippine navy was sending additional vessels toward the shoal which lies about 200 kilometers 124 miles from the nearest Philippine coast a Philippine navy official told The Associated Press	coast
The Philippine navy was sending additional vessels toward the shoal which lies about 200 kilometers 124 miles from the nearest Philippine coast a Philippine navy official told The Associated Press	Philippine
The Philippine navy was sending additional vessels toward the shoal which lies about 200 kilometers 124 miles from the nearest Philippine coast a Philippine navy official told The Associated Press	navy
The Philippine navy was sending additional vessels toward the shoal which lies about 200 kilometers 124 miles from the nearest Philippine coast a Philippine navy official told The Associated Press	official
The Philippine navy was sending additional vessels toward the shoal which lies about 200 kilometers 124 miles from the nearest Philippine coast a Philippine navy official told The Associated Press	told
The Philippine navy was sending additional vessels toward the shoal which lies about 200 kilometers 124 miles from the nearest Philippine coast a Philippine navy official told The Associated Press	Associated
The Philippine navy was sending additional vessels toward the shoal which lies about 200 kilometers 124 miles from the nearest Philippine coast a Philippine navy official told The Associated Press	Press
He spoke on condition of anonymity because of a lack of authority to discuss the situation with the media	condition of anonymity
He spoke on condition of anonymity because of a lack of authority to discuss the situation with the media	spoke
He spoke on condition of anonymity because of a lack of authority to discuss the situation with the media	anonymity
He spoke on condition of anonymity because of a lack of authority to discuss the situation with the media	condition
He spoke on condition of anonymity because of a lack of authority to discuss the situation with the media	lack of authority
He spoke on condition of anonymity because of a lack of authority to discuss the situation with the media	authority
He spoke on condition of anonymity because of a lack of authority to discuss the situation with the media	lack
He spoke on condition of anonymity because of a lack of authority to discuss the situation with the media	discuss
He spoke on condition of anonymity because of a lack of authority to discuss the situation with the media	situation
He spoke on condition of anonymity because of a lack of authority to discuss the situation with the media	media
